Agent info:
	Batch size: 128
	Memory length: 50000
	Gamma: 0.99
	Success Margin: -150

Episode: 1/200, rounds: 79, score: -88.06, reward: -100, elapsed time: 0:00:02
Episode: 60/200, rounds: 83, score: -196.5, reward: -100, elapsed time: 0:01:15
Episode: 61/200, rounds: 80, score: -41.27, reward: -100, elapsed time: 0:01:17
Episode: 62/200, rounds: 137, score: -331.4, reward: -100, elapsed time: 0:01:18
Episode: 63/200, rounds: 115, score: -810.1, reward: -100, elapsed time: 0:01:20
Episode: 64/200, rounds: 113, score: -335.5, reward: -100, elapsed time: 0:01:21
Episode: 65/200, rounds: 82, score: -188.9, reward: -100, elapsed time: 0:01:22
Episode: 66/200, rounds: 92, score: -154.9, reward: -100, elapsed time: 0:01:24
Episode: 67/200, rounds: 78, score: -286.6, reward: -100, elapsed time: 0:01:25
Episode: 68/200, rounds: 86, score: -177.2, reward: -100, elapsed time: 0:01:26
Episode: 69/200, rounds: 72, score: -145.7, reward: -100, elapsed time: 0:01:27
Episode: 70/200, rounds: 60, score: -119.0, reward: -100, elapsed time: 0:01:28
Episode: 71/200, rounds: 89, score: -174.1, reward: -100, elapsed time: 0:01:29
Episode: 72/200, rounds: 89, score: -139.7, reward: -100, elapsed time: 0:01:31
Episode: 73/200, rounds: 55, score: -99.22, reward: -100, elapsed time: 0:01:32
Episode: 74/200, rounds: 172, score: -450.4, reward: -100, elapsed time: 0:01:33
Episode: 75/200, rounds: 98, score: -329.7, reward: -100, elapsed time: 0:01:34
Episode: 76/200, rounds: 102, score: -377.4, reward: -100, elapsed time: 0:01:36
Episode: 77/200, rounds: 63, score: -125.4, reward: -100, elapsed time: 0:01:37
Episode: 78/200, rounds: 79, score: -160.9, reward: -100, elapsed time: 0:01:38
Episode: 79/200, rounds: 131, score: -658.2, reward: -100, elapsed time: 0:01:40
Episode: 80/200, rounds: 155, score: -383.5, reward: -100, elapsed time: 0:01:41
Episode: 81/200, rounds: 106, score: 28.88, reward: -100, elapsed time: 0:01:42
Episode: 82/200, rounds: 62, score: -487.8, reward: -100, elapsed time: 0:01:44
Episode: 83/200, rounds: 64, score: -562.4, reward: -100, elapsed time: 0:01:45
Episode: 84/200, rounds: 55, score: -470.5, reward: -100, elapsed time: 0:01:46
Episode: 85/200, rounds: 50, score: -460.2, reward: -100, elapsed time: 0:01:47
Episode: 86/200, rounds: 50, score: -353.8, reward: -100, elapsed time: 0:01:48
Episode: 87/200, rounds: 134, score: -1.266e+03, reward: -100, elapsed time: 0:01:49
Episode: 88/200, rounds: 80, score: -741.2, reward: -100, elapsed time: 0:01:50
Episode: 89/200, rounds: 88, score: -966.9, reward: -100, elapsed time: 0:01:52
Episode: 90/200, rounds: 54, score: -476.6, reward: -100, elapsed time: 0:01:53
Episode: 91/200, rounds: 73, score: -662.7, reward: -100, elapsed time: 0:01:54
Episode: 92/200, rounds: 76, score: -799.3, reward: -100, elapsed time: 0:01:55
Episode: 93/200, rounds: 69, score: -534.9, reward: -100, elapsed time: 0:01:56
Episode: 94/200, rounds: 78, score: -715.2, reward: -100, elapsed time: 0:01:57
Episode: 95/200, rounds: 92, score: -386.1, reward: -100, elapsed time: 0:01:59
Episode: 96/200, rounds: 51, score: -365.4, reward: -100, elapsed time: 0:02:00
Episode: 97/200, rounds: 68, score: -550.7, reward: -100, elapsed time: 0:02:01
Episode: 98/200, rounds: 82, score: -791.0, reward: -100, elapsed time: 0:02:02
Episode: 99/200, rounds: 68, score: -555.8, reward: -100, elapsed time: 0:02:03
Episode: 100/200, rounds: 53, score: -394.4, reward: -100, elapsed time: 0:02:04
Episode: 101/200, rounds: 61, score: -589.1, reward: -100, elapsed time: 0:02:05
Episode: 102/200, rounds: 76, score: -823.0, reward: -100, elapsed time: 0:02:06
Episode: 103/200, rounds: 84, score: -1.027e+03, reward: -100, elapsed time: 0:02:07
Episode: 104/200, rounds: 58, score: -549.7, reward: -100, elapsed time: 0:02:08
Episode: 105/200, rounds: 61, score: -557.3, reward: -100, elapsed time: 0:02:09
Episode: 106/200, rounds: 50, score: -337.3, reward: -100, elapsed time: 0:02:10
Episode: 107/200, rounds: 78, score: -776.8, reward: -100, elapsed time: 0:02:12
Episode: 108/200, rounds: 80, score: -425.7, reward: -100, elapsed time: 0:02:13
Episode: 109/200, rounds: 61, score: -452.0, reward: -100, elapsed time: 0:02:14
Episode: 110/200, rounds: 70, score: -257.4, reward: -100, elapsed time: 0:02:15
Episode: 111/200, rounds: 56, score: -455.4, reward: -100, elapsed time: 0:02:16
Episode: 112/200, rounds: 76, score: -645.9, reward: -100, elapsed time: 0:02:17
Episode: 113/200, rounds: 57, score: -514.1, reward: -100, elapsed time: 0:02:18
Episode: 114/200, rounds: 83, score: -848.6, reward: -100, elapsed time: 0:02:20
Episode: 115/200, rounds: 60, score: -582.6, reward: -100, elapsed time: 0:02:21
Episode: 116/200, rounds: 53, score: -393.3, reward: -100, elapsed time: 0:02:22
Episode: 117/200, rounds: 68, score: -539.6, reward: -100, elapsed time: 0:02:23
Episode: 118/200, rounds: 54, score: -478.4, reward: -100, elapsed time: 0:02:24
Episode: 119/200, rounds: 85, score: -767.1, reward: -100, elapsed time: 0:02:25
Episode: 120/200, rounds: 83, score: -705.1, reward: -100, elapsed time: 0:02:26
Episode: 121/200, rounds: 72, score: -674.6, reward: -100, elapsed time: 0:02:27
Episode: 122/200, rounds: 67, score: -657.7, reward: -100, elapsed time: 0:02:29
Episode: 123/200, rounds: 85, score: -1.003e+03, reward: -100, elapsed time: 0:02:30
Episode: 124/200, rounds: 68, score: -560.8, reward: -100, elapsed time: 0:02:31
Episode: 125/200, rounds: 90, score: -969.5, reward: -100, elapsed time: 0:02:32
Episode: 126/200, rounds: 73, score: -699.4, reward: -100, elapsed time: 0:02:33
Episode: 127/200, rounds: 84, score: -726.1, reward: -100, elapsed time: 0:02:34
Episode: 128/200, rounds: 55, score: -564.6, reward: -100, elapsed time: 0:02:36
Episode: 129/200, rounds: 81, score: -824.1, reward: -100, elapsed time: 0:02:37
Episode: 130/200, rounds: 90, score: -617.1, reward: -100, elapsed time: 0:02:38
Episode: 131/200, rounds: 88, score: -582.4, reward: -100, elapsed time: 0:02:39
Episode: 132/200, rounds: 113, score: -598.6, reward: -100, elapsed time: 0:02:41
Episode: 133/200, rounds: 98, score: -1.277e+03, reward: -100, elapsed time: 0:02:42
Episode: 134/200, rounds: 108, score: -1.148e+03, reward: -100, elapsed time: 0:02:43
Episode: 135/200, rounds: 57, score: -481.9, reward: -100, elapsed time: 0:02:44
Episode: 136/200, rounds: 77, score: -842.4, reward: -100, elapsed time: 0:02:46
Episode: 137/200, rounds: 120, score: -1.574e+03, reward: -100, elapsed time: 0:02:47
Episode: 138/200, rounds: 78, score: -826.6, reward: -100, elapsed time: 0:02:48
Episode: 139/200, rounds: 88, score: -911.9, reward: -100, elapsed time: 0:02:49
Episode: 140/200, rounds: 67, score: -580.6, reward: -100, elapsed time: 0:02:50
Episode: 141/200, rounds: 61, score: -407.8, reward: -100, elapsed time: 0:02:52
Episode: 142/200, rounds: 64, score: -405.8, reward: -100, elapsed time: 0:02:53
Episode: 143/200, rounds: 55, score: -253.0, reward: -100, elapsed time: 0:02:54
Episode: 144/200, rounds: 83, score: -641.0, reward: -100, elapsed time: 0:02:55
Episode: 145/200, rounds: 77, score: -685.2, reward: -100, elapsed time: 0:02:56
Episode: 146/200, rounds: 53, score: -134.5, reward: -100, elapsed time: 0:02:57
Episode: 147/200, rounds: 63, score: -491.9, reward: -100, elapsed time: 0:02:58
Episode: 148/200, rounds: 69, score: -561.3, reward: -100, elapsed time: 0:02:59
Episode: 149/200, rounds: 82, score: -539.5, reward: -100, elapsed time: 0:03:01
Episode: 150/200, rounds: 76, score: -519.4, reward: -100, elapsed time: 0:03:02
Episode: 151/200, rounds: 71, score: -552.9, reward: -100, elapsed time: 0:03:03
Episode: 152/200, rounds: 87, score: -701.8, reward: -100, elapsed time: 0:03:04
Episode: 153/200, rounds: 65, score: -102.9, reward: -100, elapsed time: 0:03:05
Episode: 154/200, rounds: 62, score: -249.3, reward: -100, elapsed time: 0:03:06
Episode: 155/200, rounds: 62, score: -362.8, reward: -100, elapsed time: 0:03:08
Episode: 156/200, rounds: 60, score: -408.5, reward: -100, elapsed time: 0:03:09
Episode: 157/200, rounds: 57, score: -438.5, reward: -100, elapsed time: 0:03:10
Episode: 158/200, rounds: 60, score: -234.4, reward: -100, elapsed time: 0:03:11
Episode: 159/200, rounds: 58, score: -193.5, reward: -100, elapsed time: 0:03:12
Episode: 160/200, rounds: 51, score: -334.2, reward: -100, elapsed time: 0:03:13
Episode: 161/200, rounds: 75, score: -683.5, reward: -100, elapsed time: 0:03:14
Episode: 162/200, rounds: 86, score: -862.3, reward: -100, elapsed time: 0:03:15
Episode: 163/200, rounds: 81, score: -664.6, reward: -100, elapsed time: 0:03:17
Episode: 164/200, rounds: 74, score: -630.8, reward: -100, elapsed time: 0:03:18
Episode: 165/200, rounds: 54, score: -107.9, reward: -100, elapsed time: 0:03:19
Episode: 166/200, rounds: 94, score: -562.7, reward: -100, elapsed time: 0:03:20
Episode: 167/200, rounds: 68, score: -608.3, reward: -100, elapsed time: 0:03:21
Episode: 168/200, rounds: 52, score: -426.0, reward: -100, elapsed time: 0:03:22
Episode: 169/200, rounds: 56, score: -496.4, reward: -100, elapsed time: 0:03:23
Episode: 170/200, rounds: 52, score: -131.6, reward: -100, elapsed time: 0:03:25
Episode: 171/200, rounds: 77, score: -151.6, reward: -100, elapsed time: 0:03:26
Episode: 172/200, rounds: 58, score: -109.1, reward: -100, elapsed time: 0:03:27
Episode: 173/200, rounds: 61, score: -130.5, reward: -100, elapsed time: 0:03:28
Episode: 174/200, rounds: 78, score: -747.8, reward: -100, elapsed time: 0:03:29
Episode: 175/200, rounds: 62, score: -97.94, reward: -100, elapsed time: 0:03:30
Episode: 176/200, rounds: 50, score: -151.2, reward: -100, elapsed time: 0:03:31
Episode: 177/200, rounds: 80, score: -117.0, reward: -100, elapsed time: 0:03:32
Episode: 178/200, rounds: 74, score: -460.4, reward: -100, elapsed time: 0:03:34
Episode: 179/200, rounds: 74, score: -742.9, reward: -100, elapsed time: 0:03:35
Episode: 180/200, rounds: 53, score: -185.7, reward: -100, elapsed time: 0:03:36
Episode: 181/200, rounds: 64, score: -124.5, reward: -100, elapsed time: 0:03:37
Episode: 182/200, rounds: 69, score: -708.2, reward: -100, elapsed time: 0:03:38
Episode: 183/200, rounds: 76, score: -594.1, reward: -100, elapsed time: 0:03:39
Episode: 184/200, rounds: 78, score: -535.9, reward: -100, elapsed time: 0:03:40
Episode: 185/200, rounds: 86, score: -94.42, reward: -100, elapsed time: 0:03:42
Episode: 186/200, rounds: 49, score: -130.7, reward: -100, elapsed time: 0:03:43
Episode: 187/200, rounds: 85, score: -160.2, reward: -100, elapsed time: 0:03:44
Episode: 188/200, rounds: 60, score: -108.6, reward: -100, elapsed time: 0:03:45
Episode: 189/200, rounds: 70, score: -152.3, reward: -100, elapsed time: 0:03:46
Episode: 190/200, rounds: 70, score: -176.6, reward: -100, elapsed time: 0:03:47
Episode: 191/200, rounds: 65, score: -101.6, reward: -100, elapsed time: 0:03:49
Episode: 192/200, rounds: 71, score: -144.6, reward: -100, elapsed time: 0:03:50
Episode: 193/200, rounds: 67, score: -82.83, reward: -100, elapsed time: 0:03:51
Episode: 194/200, rounds: 53, score: -95.22, reward: -100, elapsed time: 0:03:52
Episode: 195/200, rounds: 56, score: -77.07, reward: -100, elapsed time: 0:03:53
Episode: 196/200, rounds: 74, score: -162.2, reward: -100, elapsed time: 0:03:54
Episode: 197/200, rounds: 81, score: -120.9, reward: -100, elapsed time: 0:03:55
Episode: 198/200, rounds: 72, score: -577.1, reward: -100, elapsed time: 0:03:57
Episode: 199/200, rounds: 73, score: -692.4, reward: -100, elapsed time: 0:03:58
Episode: 200/200, rounds: 91, score: -1.137e+03, reward: -100, elapsed time: 0:03:59
